id_contrato,parcela,parcela_z,fundo,fundo_code,key
CTR000001,1,001,FIDC3,FIDC3,CTR000001|001
CTR000002,1,001,FIDC4,FIDC4,CTR000002|001
CTR000003,1,001,FIDC4,FIDC4,CTR000003|001
CTR000005,1,001,FIDC4,FIDC4,CTR000005|001
CTR000006,1,001,FIDC4,FIDC4,CTR000006|001
CTR000007,1,001,FIDC4,FIDC4,CTR000007|001
CTR000008,1,001,FIDC4,FIDC4,CTR000008|001
CTR000010,1,001,FIDC4,FIDC4,CTR000010|001
CTR000011,1,001,FIDC4,FIDC4,CTR000011|001
CTR000012,1,001,FIDC4,FIDC4,CTR000012|001
CTR000013,1,001,FIDC4,FIDC4,CTR000013|001
CTR000014,1,001,FIDC4,FIDC4,CTR000014|001
CTR000015,1,001,FIDC4,FIDC4,CTR000015|001
CTR000016,1,001,FIDC4,FIDC4,CTR000016|001
CTR000017,1,001,FIDC4,FIDC4,CTR000017|001
CTR000018,1,001,FIDC4,FIDC4,CTR000018|001
CTR000019,1,001,FIDC4,FIDC4,CTR000019|001
CTR000020,1,001,FIDC4,FIDC4,CTR000020|001
CTR000021,1,001,FIDC4,FIDC4,CTR000021|001
CTR000022,1,001,FIDC3,FIDC3,CTR000022|001
