customerid,transactionid,id_contrato,parcela,produto,fundo,data_referencia,data_cessao,data_vencimento,valor_cessao,valor_nominal
42b7be7afa750d32835412de14c3f10d2be3918d7e9ec3fddd2692d819735872,20260409234753,CTR000001,1,SalaryAdvanceFX,FIDC3,2026-06-30,2026-04-10 13:16:11,2026-05-09,47.5,66.9
3f9bdbb8e347c24adcb61493812b6a88695d9cc2b15fff0f9ee55350b015d517,20260619151150,CTR000002,1,SimpleCredit,FIDC4,2026-06-30,2026-06-19 17:13:14,2026-07-20,65.95,87.47
57261241ca541d83b9edcfdffe2b186f07bf82e26345a817814ca6b30c604c2e,20260528153459,CTR000003,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-05-29 09:24:28,2026-07-07,360.5,437.9
7e18f618ba049e808192b7afa7450b6e9afe57240686cadeb9a6b2b45b6660a7,20260601203533,CTR000005,1,SimpleCredit,FIDC4,2026-06-30,2026-06-02 08:40:26,2026-07-16,102.23,131.34
6950ec9c800ef49262feb23faa1e78b6b9e1d6250275386c5ea5dc7a92a9c1c4,20260509115834,CTR000006,1,SimpleCredit,FIDC4,2026-06-30,2026-05-09 16:52:55,2026-06-16,51.54,71.9
9085caefa68ce5b50c8300d1b545ed3603777fa0e0dfb8ef6e565888bbb2c8ea,20260622075440,CTR000007,1,SimpleCredit,FIDC4,2026-06-30,2026-06-22 13:11:48,2026-07-20,252.76,327.04
8125498cfff44259f71a07cea00f519d3298d7b4be96c5a419bd695450b492b8,20260627171109,CTR000008,1,SimpleCredit,FIDC4,2026-06-30,2026-06-28 06:55:38,2026-07-29,91.04,122.27
5e32d4e25d5775be7248d55a9d6795243d1eb60cedbca7f2c22891b1d8f956c5,20260604180224,CTR000010,1,SimpleCredit,FIDC4,2026-06-30,2026-06-05 09:23:54,2026-07-08,51.57,67.48
f07f50f0fcb02967608b3a40d4ebfd748a6298479967e2e00f78ca3ea15dd391,20260630090846,CTR000011,1,SimpleCredit,FIDC4,2026-06-30,2026-06-30 14:12:17,2026-07-31,65.76,86.13
34627bc30a7ae751fb78671a19b42b19ba60e22ec70bb568ccbb8e52fb9af5e1,20260617002321,CTR000012,1,SimpleCredit,FIDC4,2026-06-30,2026-06-17 09:36:28,2026-07-17,203.0,264.65
eec4db5540fb3628715153e7eed5ea4eb8f2d31ce9b7c13a21831ee9a2c24405,20260613133706,CTR000013,1,SimpleCredit,FIDC4,2026-06-30,2026-06-13 17:07:45,2026-07-20,359.76,479.25
9dd3fa6e62e9ec30fa1e3d2198d391e10644df461f2b71829342c55dec32913d,20260618011051,CTR000014,1,SimpleCredit,FIDC4,2026-06-30,2026-06-18 09:06:42,2026-07-20,152.53,188.1
0107ae1e40e26313fc34c45e47c2bdb6ee2ff2f080faa478f07cbc2467db0776,20260610093420,CTR000015,1,SimpleCredit,FIDC4,2026-06-30,2026-06-10 13:08:46,2026-07-07,51.49,64.79
ee87f6d111f7a86b744c59eb22360c4bbf5e716d9ad96336bca3ac1c9ea7a521,20260619132622,CTR000016,1,SimpleCredit,FIDC4,2026-06-30,2026-06-19 17:13:22,2026-07-13,101.25,132.33
fd81e7771af7c229c52d33559f6de3cbc625eaed955622391da0c3749ed23374,20260317103817,CTR000017,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-03-18 14:27:03,2026-04-30,206.0,266.9
