id_contrato,parcela,fundo,data_referencia,valor_presente_fundo,parcela_z,fundo_code,key
CTR000004,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,152.9,001,FIDC4,CTR000004|001
CTR000009,1,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,FIDC3,CTR000009|001
CTR000023,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,559.9,001,FIDC4,CTR000023|001
CTR000041,1,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,55.66,001,FIDC3,CTR000041|001
CTR000044,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,FIDC4,CTR000044|001
CTR000046,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,249.9,001,FIDC4,CTR000046|001
CTR000050,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,200.18,001,FIDC4,CTR000050|001
CTR000056,1,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,FIDC3,CTR000056|001
CTR000060,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,194.9,001,FIDC4,CTR000060|001
CTR000065,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,132.9,001,FIDC4,CTR000065|001
CTR000073,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,46.86,001,FIDC4,CTR000073|001
CTR000087,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,112.9,001,FIDC4,CTR000087|001
CTR000089,1,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,120.75,001,FIDC4,CTR000089|001
CTR000095,1,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,46.9,001,FIDC3,CTR000095|001
