customerid,transactionid,id_contrato,parcela,produto,fundo,data_referencia,data_cessao,data_vencimento,valor_cessao,valor_nominal,parcela_z,key,fundo_code,dc_cessao,t_ref,i_facio,valor_presente_calculado,valor_presente_fundo,_merge,recon_status,abs_diff,rel_diff,valor_exposicao
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000004|001,FIDC4,,,,,152.9,right_only,Only Fundo,,,152.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000009|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000023|001,FIDC4,,,,,559.9,right_only,Only Fundo,,,559.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000041|001,FIDC3,,,,,55.66,right_only,Only Fundo,,,55.66
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000044|001,FIDC4,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000046|001,FIDC4,,,,,249.9,right_only,Only Fundo,,,249.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000050|001,FIDC4,,,,,200.18,right_only,Only Fundo,,,200.18
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000056|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000060|001,FIDC4,,,,,194.9,right_only,Only Fundo,,,194.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000065|001,FIDC4,,,,,132.9,right_only,Only Fundo,,,132.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000073|001,FIDC4,,,,,46.86,right_only,Only Fundo,,,46.86
