customerid,transactionid,id_contrato,parcela,produto,fundo,data_referencia,data_cessao,data_vencimento,valor_cessao,valor_nominal,parcela_z,fundo_code,key,dc_cessao,t_ref,i_facio,valor_presente_calculado,valor_presente_fundo,_merge,recon_status,abs_diff,rel_diff,valor_exposicao
811965783875730f387ceccb805f28fdef32c9e34b776a0cfa0b142d9767cc20,20260225091834.0,CTR027641,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-02-26,2026-04-11,1030.0,1298.9,001,FIDC4,CTR027641|001,44.0,124.0,0.005285714681185105,1298.9000000000058,386.96,both,Match Divergent,911.9400000000057,2.3566776927847988,1298.9000000000058
80eb13a1887cfccadbe1d160ba8212a99e45a366a2aa919834edca1800ca224f,20260529110914.0,CTR011093,1,SimpleCredit,FIDC4,2026-06-30,2026-05-29,2026-06-22,455.28,566.82,001,FIDC4,CTR011093|001,24.0,32.0,0.009172191535685492,566.8200000000004,66.99,both,Match Divergent,499.8300000000004,7.461262875055985,566.8200000000004
5843f1e04ae9cdafa78a99a08e6be8af9ab551322764df28dfe4ac4e2824e1df,20260508124044.0,CTR019269,1,SimpleCredit,FIDC4,2026-06-30,2026-05-08,2026-06-05,712.94,864.65,001,FIDC4,CTR019269|001,28.0,53.0,0.006914061638903624,864.6499999999988,451.7,both,Match Divergent,412.94999999999885,0.9142129732123065,864.6499999999988
00acbab05d07ae0eae1a930c2f63996df21a28b5a65213e7aaf3f050639c8511,20260511074820.0,CTR030315,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-05-12,2026-06-12,509.85,619.9,001,FIDC4,CTR030315|001,31.0,49.0,0.006324483681563242,619.8999999999983,226.42,both,Match Divergent,393.4799999999983,1.7378323469658083,619.8999999999983
ca645a434c729c397e558690d47c1b227b29ac2029bca566db9bf7ac33f47d3a,20260322115044.0,CTR011422,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-03-23,2026-05-07,457.25,563.9,001,FIDC4,CTR011422|001,45.0,99.0,0.004669683448841111,563.9000000000019,200.34,both,Match Divergent,363.5600000000019,1.8147149845263146,563.9000000000019
8b768b7b9fc74270cf205bff6dddcda104542066d03d36f7dd5fad7fddd432e0,20260320124130.0,CTR049396,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-03-21,2026-04-30,339.9,439.9,001,FIDC4,CTR049396|001,40.0,101.0,0.006468228510829288,439.9000000000002,79.46,both,Match Divergent,360.4400000000002,4.536118801912916,439.9000000000002
0e2c59e20a985af59aab969c526ca965d6b30d88ab16726f42c78e79d82cace7,20260507210341.0,CTR046340,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-05-08,2026-06-08,448.05,543.9,001,FIDC4,CTR046340|001,31.0,53.0,0.0062731612470887654,543.9000000000012,196.48,both,Match Divergent,347.4200000000012,1.7682206840390942,543.9000000000012
ce4c8e1e79a1dfd1e8ba3e3515957ec608707542ceb108f2af6b0fe27d7439e3,20260410120728.0,CTR004747,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-04-11,2026-05-13,309.0,374.9,001,FIDC4,CTR004747|001,32.0,80.0,0.006059473747995314,374.9000000000005,29.47,both,Match Divergent,345.4300000000005,11.721411605022075,374.9000000000005
46116aae4d403229a7e2ec1545478f8117b1c5d591e7f56bf4bf950071fcb17b,20260509192524.0,CTR020174,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-05-12,2026-06-24,442.9,573.9,001,FIDC4,CTR020174|001,43.0,49.0,0.006044032695790236,573.9000000000012,243.91,both,Match Divergent,329.99000000000126,1.3529170595711584,573.9000000000012
e9456820553341cf4732bc95405027ab34a0f802768dd7eac5bc9f82d9047042,20260325162202.0,CTR034040,1,SalaryAdvanceFX,FIDC4,2026-06-30,2026-03-26,2026-05-09,689.11,845.9,001,FIDC4,CTR034040|001,44.0,96.0,0.004669966814343285,845.899999999996,519.49,both,Match Divergent,326.409999999996,0.6283277830179522,845.899999999996
